_2025,Name,Name (ENG - free translation) ,Date,Date,Journalist,URL Shomrim,Subject,1ST subject ,2nd subject,3rd subject,Theme 1,Theme 2,Theme 3,Themes (numeric),Story type,Impact level,Legend: impact definition,Impact description,Impact description (ENG - free translation) ,Production,Additional outlets - tier A,Additional outlets – tier A (ENG),Additional outlets - tier B,Additional outlets – tier B (ENG)
1,חשיפה: הארגון האירופי שמאתר חיילים ישראליים בעולם - ומאלץ אותם לבחור בין בריחה למעצר,"Exposed: What is the Hind Rajab Foundation, Which is Making Israeli Soldiers Fear Arrest Abroad?",2025-01-02,2-Jan-2025,Milan Cerny,https://www.shomrim.news/hebrew/hind-rajab,"October 7 War
Democratic Institutions and the Rule of Law",October 7 War,Democratic Institutions and the Rule of Law,,Military & Reserve Forces,Democratic Values/Institutional Norms ,,"2
4",Investigative,"1, 3","Media Amplification, Real-World Change",,"10.1 - Following the publication, the European Palestinian Network Conference taking place in Denmark on January 11th informed that Hind Rajab Foundation (HRF) that its participation at the conference was canceled after some invitees opposed sharing a panel with the HRF. The HRF noted on X that participation was cancelled ""due to information disseminated in the Israeli press, falsely linking us to resistance movements in Lebanon and Palestine."" The conference was organized by Puls48, a Palestinian-focused advocacy news site. Speakers at the conference included, amongst others, Mogens Lykketoft Former Minister of Foreign Affairs of Denmark, Francesca Albanese UN Special Rapporteur on the Occupied Palestinian Territories, and Palestinian journalists.","Audio Recording, Translation","N12
הארץ אנגלית","N12, Haaretz (English edition)",,
2,חשיפה: מגדל ובנק לאומי תרמו מאות אלפי שקלים לעמותה המתנחלת במזרח ירושלים,Exposure: Migdal and Bank Leumi donated hundreds of thousands of shekels to a settler organization in East Jerusalem,2025-01-05,5-Jan-2025,Uri Blau,https://www.shomrim.news/hebrew/east-jerusalem,"Democracy & Society 
Economy, Finance, Inequality, Poverty",Democracy & Society,"Economy, Finance, Inequality, Poverty",,Democratic Values/Institutional Norms,,,4,Investigative,1,Media Amplification,,,,"כלכליסט
הארץ","Calcalist, Haaretz",,
3,משרתי השר במקום משרתי ציבור: החקיקה שמאיימת לרסק את הדרג המקצועי בשירות המדינה,"Serving the Minister, Not the Public: The Legislation Threatening to Cripple Israel’s Civil Service",2025-01-06,6-Jan-2025,Chen Shalita,https://www.shomrim.news/hebrew/end-of-civil-service,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,,,1,Explanatory,,,,,,,,,
4,השוק השחור של התרופות המסוכנות במזרח ירושלים נחשף,"The Black Market for Dangerous Drugs: Bought from the HMO, Sold at a Massive Profit",2025-01-10,10-Jan-2025,Haim Rivlin,https://www.shomrim.news/hebrew/the-black-market-of-dangerous-drugs,"Economy, Finance, Inequality, Poverty 
Health","Economy, Finance, Inequality, Poverty",Health,,Extreme Social Phenomena,Democratic Values/Institutional Norms,,"8
4",Investigative,1,Media Amplification,,,"Audio Recording, Translation","Ynet, Ynet ENG, גלצ","Ynet, Ynet ENG, Galatz (Army Radio)",,
5,"מכרז הענק לרובה החדש לצה""ל: את החברה הזוכה ייצג בכיר לשעבר במשרד הביטחון",The IDF’s Massive New Rifle Tender: The Winning Company Was Represented by a Former Senior Defense Official,2025-01-13,13-Jan-2025,"Roni Singer, Daniel Dolev",https://www.shomrim.news/hebrew/ari-arms,"Democracy & Society
Democratic Institutions and the Rule of Law",Democracy & Society,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,Democratic Values/Institutional Norms,"1
2
4",Short-Term Investigative,3,Real-World Change,המכרז בוטל,The auction has been canceled!,,,,,
6,חשש לאחד ממאגרי מי התהום הגדולים בישראל,A Reservoir in Peril: Ongoing Pollution Crisis Threatens Israel’s Water Supply,2025-01-16,16-Jan-2025,Haim Rivlin,https://www.shomrim.news/hebrew/water-pollution,"Environment & Transportation
Health",Environment & Transportation,Health,,Water & Infrastructure,,,6,Short-Term Investigative,"1, 2","Media Amplification, Stakeholder Reaction","ב-17.2 בעקבות פרסום התחקיר, התקיים דיון בועדת הפנים והגנת הסביבה של הכנסת בנושא זיהום מי התהום בנחל שקמה","Feb 17, following the publication of the investigation, the Knesset’s Interior and Environmental Protection Committee held a discussion on the contamination of groundwater in the Shikma Stream.",Translation,Ynet,Ynet,,
7,חשיפה: המיליונרית המסתורית מאחורי תרומת הענק לתנועת ההתנחלות בעזה,Revealed: The Mysterious Millionaire Funding the Gaza Resettlement Movement,2025-01-16,16-Jan-2025,Uri Blau,https://www.shomrim.news/hebrew/the-mysterious-millionaire,"Democracy & Society
Democratic Institutions and the Rule of Law
Human Rights & Democratic Values",Democracy & Society,Democratic Institutions and the Rule of Law,Human Rights & Democratic Values,Land/Planning,Democratic Values/Institutional Norms,,"5
4",Short-Term Investigative,1,Media Amplification,,,Translation,כלכליסט,Calcalist,,
8,"""במשטר סמכותני, העמוד הראשון בספר ההנחיות הוא שליטה בשירות הביטחון""","In Authoritarian Regimes, Controlling the Security Services Comes First'",2025-01-21,21-Jan-2025,Chen Shalita,https://www.shomrim.news/hebrew/the-next-target-the-idf,"Democracy & Society
 Democratic Institutions and the Rule of Law
 Human Rights & Democratic Values",Democracy & Society,Democratic Institutions and the Rule of Law,Human Rights & Democratic Values,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Feature,,,,,Audio Recording,,,,
9,"פנייה לנציבות שירות המדינה: לחקור האם ראש הסגל בלשכת רה""מ אישר תשלום לעובד שישב בבית","Former Netanyahu Advisor Allegedly Kept Receiving Salary After Being Ousted, Raising Suspicions of Fraudulent Public Spending",2025-01-28,28-Jan-2025,Haim Rivlin,https://www.shomrim.news/hebrew/lazimi-braverman,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,,,1,Short-Term Investigative,,,,,,,,,
10,"אסון ידוע מראש: כמות הנפט תגדל, דרישות הבטיחות בצינורות קצא""א לא טופלו","A Disaster Foretold: Oil Shipments Are Expanding, While Safety Failures in the Eilat-Ashkelon Pipeline Remain",2025-01-29,29-Jan-2025,Daniel Dolev,https://www.shomrim.news/hebrew/ktzaa-mevaker-report,Environment & Transportation,Environment & Transportation,,,Water & Infrastructure,,,6,Follow up,2,Stakeholder Reaction, 28.5 - התחקיר צוטט בידי נציג החברה להגנת הטבע בדיון בועדת החוקה בכנסת (יש וידאו),"May 28, the investigation was cited by a representative of the Society for the Protection of Nature in Israel during a discussion of the Knesset’s Constitution Committee (video available).",,,,,
