#,Title,Date,Subjects,Theme 1,Theme 2,Theme 3,Impact level,Story type
12,"The Lod Municipality vs. the Israeli Government: Negligence, Discrimination, and an Unlivable Reality",2-Feb-2025,"economy, finance, inequality, poverty
marginalized communities
democracy & society",Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,2,Follow up
28,Silent Scars: The Enduring Impact of Violence in Haredi Education,2-May-2025,"democracy & society
marginalized communities",Democratic Values/Institutional Norms,,,1,Investigative
33,13 Lawmakers Urge State Prosecutor to Appeal the Release of Convicted Sex Offender Yuval Karmi,18/03/2025,marginalized communities,Judicial System & Courts,,,,Follow up
47,How Sexual Abuse Is Covered Up in Ultra-Orthodox Communities,4-Feb-2025,marginalized communities,Extreme Social Phenomena,Democratic Values/Institutional Norms,,1,Short-Term Investigative
49,Putin’s Ally: Belarusian Exiles in Israel Targeted by Lukashenko’s KGB,4-Jul-2025,"marginalized communities
democracy & society",Democratic Values/Institutional Norms,,,,Short-Term Investigative
51,Paving the Way to Annexation: Israel Quietly Builds New Roads in the West Bank,4-Oct-2025,"democratic institutions and the rule of law
marginalized communities
human rights & Democratic Values/Institutional Norms",Land/Planning,Democratic Values/Institutional Norms,,,Short-Term Investigative
55,No man’s land: The IDF flooded the West Bank with Weapons - Then Lost Track of Them,5-May-2025,"human rights & Democratic Values/Institutional Norms 
marginalized communities
democratic institutions and the rule of law",Military & Reserve Forces,Democratic Values/Institutional Norms,,,Follow up
61,"Social Equality? Not for Arabs, LGBTQ People, or Holocaust Survivors",5-Dec-2025,"democratic institutions and the rule of law
human rights & Democratic Values/Institutional Norms 
marginalized communities",Arab Society,Democratic Values/Institutional Norms,,,Short-Term Investigative
66,"The Abandoned Bedouin Village: 'Settlers Came, Cursed Us, and Terrorized the Children'",26/05/2025,"marginalized communities
human rights & Democratic Values/Institutional Norms",Arab Society,Land/Planning,,,Follow up
71,Only After Three Sexual Harassment Complaints Did United Hatzalah Force Out a Senior Official,6-Jan-2025,marginalized communities,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,1,Follow up
72,Nowhere to Run: LGBTQ Palestinians Struggle to Survive and Israel Closes the Door,6-Jan-2025,"human rights & Democratic Values/Institutional Norms 
marginalized communities",Extreme Social Phenomena,Democratic Values/Institutional Norms,,1,Investigative
73,"Losing Faith, Seeking Power: Arab Society Prepares for the Next Election",6-Jan-2025,"democracy & society
marginalized communities",Arab Society,Democratic Values/Institutional Norms,,,Feature
74,I Fear What This Is Doing to the Community': How to Break the Link Between Drugs and LGBTQ Spaces,6-Apr-2025,"democracy & society
health",Extreme Social Phenomena,Democratic Values/Institutional Norms,,,Feature
76,A Semi-Buried Minibus or Sewage Pipes: Dozens of Israeli Bedouin Have No Access to Bomb Shelters,15/06/2025,"democracy & society
marginalized communities
october 7 war",Arab Society,Extreme Social Phenomena,Democratic Values/Institutional Norms,,Explanatory
80,Do Not Forsake Me: The Elderly Left Behind in Wartime,19/06/2025,"democracy & society
october 7 war
marginalized communities",Democratic Values/Institutional Norms,,,,Explanatory
81,The Neighbors Took Over the Shelter - and There’s Nothing Anyone Can Do,22/06/2025,"marginalized communities
october 7 war",Extreme Social Phenomena,Democratic Values/Institutional Norms,,1,Explanatory
